out:Span,out:Height,out:Material frame,out:Material interm ,out:Width,out:Height column-base,out:Height column-corner,out:Height beam-corner,out:Height beam-apex,out:SI column-base,out:SI corner,out:SI beam-apex,out:SI interm -base,out:Material bracing,out:Area bracing,out:Height interm ,out:Spacing interm ,out:Pitch,out:No  interm ,out:Corner deflection,out:Max deflection,img,in:CurrentObject
36.76015,5.92294,12.709608,8.434805,149.680143,1550.71869,663.951688,583.419125,1003.911737,0.000795,32.137618,18.844678,10.690837,210,1588.710733,443.283893,7.21042,4.221551,0,42.418369,42.44615,CurrentObject24_GH_Print.png,24
13.702179,4.966414,12.303938,9.548681,214.324078,1562.146696,1297.982666,562.501208,1408.994788,0.164016,1.319364,16.608489,8.353857,11.366248,19913.25171,600.815378,2.5894,2.340687,0,3.304737,3.305,CurrentObject25_GH_Print.png,25
61.395431,6.018664,13.057364,9.790584,171.674159,1661.658895,1203.053496,1091.358486,1460.588942,2.069154,32.625576,33.380434,0.470708,210,600.307241,510.524979,6.168102,22.075302,3,4.725269,5.516683,CurrentObject26_GH_Print.png,26
24.926992,5.348446,12.667188,11.7774,153.75336,1546.302316,449.182333,1818.824419,1662.642853,19.737782,0.185019,0.138225,28.753083,9.641789,10985.15851,317.909046,2.782047,7.603136,0,3.494348,3.495,CurrentObject27_GH_Print.png,27
14.136225,5.462868,10.472512,8.567265,190.40685,1646.870869,1009.427183,954.753237,1508.371189,3.895208,29.514559,8.656873,27.90249,9.478338,23838.66118,519.065451,1.758807,0.213686,0,0.938863,0.969,CurrentObject28_GH_Print.png,28
48.073475,6.644026,13.413652,9.571948,184.834612,765.834855,735.439753,1393.010057,1842.116014,29.315649,0.785269,7.191228,0.021186,8.711516,18250.40789,465.216371,4.007702,1.238022,4,1.23174,1.71,CurrentObject29_GH_Print.png,29
42.915675,5.184256,10.524573,9.67028,202.371728,817.522504,568.156143,1530.524754,679.512281,33.667689,1.437399,26.872837,0.21511,10.171678,14454.48643,516.630835,10.015448,0.393946,0,4.52926,5.808,CurrentObject30_GH_Print.png,30
43.98148,6.676689,12.634683,8.656537,111.002561,1613.173554,1554.198998,1004.373351,1253.714928,6.558238,14.499149,4.065886,4.288898,9.568907,19776.91109,320.500589,5.984181,21.886445,1,2.742012,8.490942,CurrentObject31_GH_Print.png,31
47.607501,6.173758,13.228468,9.142232,213.278008,928.231448,1721.805302,641.186599,1519.037577,12.413579,0.302498,10.039072,14.976045,210,1244.383503,535.567836,4.058861,21.743435,3,3.794488,4.336105,CurrentObject32_GH_Print.png,32
33.568599,5.589257,12.409292,9.04018,177.274834,1097.953844,1417.036535,1613.59637,1519.486272,12.22457,6.875079,0.703832,0.028039,210,1701.00778,518.547013,2.998937,22.095538,2,2.212604,2.623684,CurrentObject33_GH_Print.png,33
55.467417,4.164502,12.446771,11.061723,200.976229,1617.524056,1169.506533,472.594018,1683.688952,1.93795,21.245295,14.781105,30.469348,210,549.799981,414.57113,5.825218,24.907898,2,2.47526,5.581928,CurrentObject34_GH_Print.png,34
44.05974,6.02463,11.764447,11.856587,213.699458,1694.143564,1399.71406,1582.673355,1055.639424,0.002928,30.044193,4.22111,12.007842,9.94349,25492.69296,574.948476,4.182,9.735328,0,24.119532,27.678142,CurrentObject35_GH_Print.png,35
60.695925,2.617393,13.45369,8.712254,206.724604,1246.329219,664.954891,1665.190395,851.741829,0.277891,13.496602,0.147135,0.480527,11.210359,20236.00131,530.879822,5.286277,15.771384,3,0.859659,2.460121,CurrentObject36_GH_Print.png,36
12.461369,5.912893,12.176255,9.685857,150.184116,1323.507506,590.719724,1046.204044,988.1656,30.397946,36.368529,39.903301,0.055675,210,763.365862,373.630307,1.07245,11.426446,1,2.601902,2.642567,CurrentObject37_GH_Print.png,37
37.334171,4.231171,11.509373,10.495347,147.337319,1322.137288,480.750051,1653.389785,946.435837,0.000025,16.449886,2.865423,0.0001,210,172.916729,421.312533,5.159482,22.470057,1,10.397996,12.089414,CurrentObject38_GH_Print.png,38
32.813451,4.412995,11.053267,10.94257,214.882603,1261.532226,1416.366408,1558.69061,556.923364,9.525726,0.516358,0.2368,0.602667,14.124788,17533.69906,643.629367,7.255841,13.95478,0,4.059526,6.99874,CurrentObject39_GH_Print.png,39
27.61655,4.81342,12.299941,12.227524,160.74611,383.816089,674.162114,1514.227906,1269.266907,38.043729,0.009892,0.215563,13.187887,9.697776,23174.2338,465.261076,3.437059,1.243236,1,0.618854,1.521,CurrentObject40_GH_Print.png,40
59.700666,6.566509,11.624356,9.031266,168.885884,777.135762,1098.994921,832.68457,774.238161,2.787923,27.609883,0.034702,9.736402,8.701969,23390.63304,393.967131,7.403898,9.247836,3,2.064726,2.229718,CurrentObject41_GH_Print.png,41
52.230912,3.56358,11.918836,13.802089,175.756205,910.113544,1321.938344,994.60574,1783.531564,3.963909,3.850418,27.482125,15.36931,210,98.867645,402.821522,6.262937,14.442599,3,2.647334,2.824196,CurrentObject42_GH_Print.png,42
25.044689,6.716768,11.964084,8.526783,184.366561,1266.094935,468.789767,1290.599233,1474.476522,0.578101,7.37E-06,32.126626,0.35252,11.340308,17748.91774,524.60104,5.971224,13.170291,0,34.388386,34.39926,CurrentObject43_GH_Print.png,43
30.683093,4.42203,12.237357,9.345307,179.594594,554.311764,1729.646214,1110.541242,1817.288285,2.515103,4.26939,29.477672,0.130542,14.16877,8221.238649,519.761914,6.119167,1.091368,0,1.850321,1.865,CurrentObject44_GH_Print.png,44
38.910283,5.030798,10.441295,11.981457,187.553628,1550.273063,1125.534525,1758.560405,862.611869,0.003338,0.000226,7.570994,0.971778,210,735.90563,267.647404,5.298791,0.388126,0,415.493116,415.493116,CurrentObject45_GH_Print.png,45
38.738566,3.698285,12.707005,9.351975,199.164764,615.433706,1169.949486,1123.268201,1750.81024,0.448828,0.013963,3.255473,0.343923,210,274.658811,581.042441,3.353463,6.239344,4,1.596168,1.597425,CurrentObject46_GH_Print.png,46
40.845254,5.741031,11.106631,10.676027,199.351401,1631.390385,1660.30717,793.471857,1258.155922,26.128831,2.987566,8.81901,27.790744,210,1224.015113,401.053554,9.350252,9.682128,0,4.328797,6.817845,CurrentObject47_GH_Print.png,47
60.095232,5.561628,12.269897,13.73966,167.276341,1410.906904,571.073367,390.201899,1049.369726,18.47042,25.764977,0.001226,0.350613,13.251321,8108.420229,438.225575,5.017258,12.170531,4,2.82634,3.353604,CurrentObject48_GH_Print.png,48
54.613806,5.105407,11.106032,10.169557,212.681968,797.643353,604.651576,1805.187091,1693.020135,21.157477,0.054109,5.125924,0.006177,210,1410.502981,594.332234,4.557658,8.399549,4,0.912696,1.038,CurrentObject49_GH_Print.png,49
48.668602,6.638918,13.485766,14.008269,189.743968,1050.261576,941.441843,1657.113566,1234.483829,22.053127,17.825297,0.76308,28.653353,10.042722,15445.46771,451.130385,5.83186,21.690919,2,3.405442,4.339488,CurrentObject50_GH_Print.png,50
58.606107,6.800234,12.524862,9.030212,198.440019,1550.078381,641.646404,1233.456746,1276.046822,32.969839,0.180434,8.367305,29.669824,8.543194,15345.43176,457.356786,4.884231,20.096097,4,4.614642,5.191032,CurrentObject51_GH_Print.png,51
56.78109,5.301185,11.234414,12.611109,183.327015,1439.231542,1329.816837,1751.214278,1747.648984,29.342747,11.874255,3.694156,13.967337,9.786757,25257.91997,527.773569,4.756844,22.201914,2,1.524892,3.943329,CurrentObject52_GH_Print.png,52
11.689301,6.140594,13.082752,14.146831,210.793445,1634.765738,628.990863,1148.885833,1598.451764,0.355265,1.862578,28.378447,0.682879,210,837.563914,543.715422,1.018334,0.002079,4,3.285,3.285,CurrentObject53_GH_Print.png,53
53.222444,5.929762,12.769509,11.432174,158.041555,1696.706039,1643.214651,748.624426,1395.095708,24.30894,0.051161,0.000036,0.003954,12.736881,15089.60226,399.933554,5.613362,22.308743,3,2.270148,3.126165,CurrentObject54_GH_Print.png,54
60.918831,6.776278,12.921625,12.230249,202.151964,989.895397,1470.589848,677.784806,448.01766,7.227111,4.448431,0.027497,13.808878,13.983653,24445.85826,503.304631,14.752165,17.641604,1,2.566362,19.900173,CurrentObject55_GH_Print.png,55
