in:Length,in:Stiffness index,in:Strength class,in:CC Height,out:Transverse flexibility Te,out:Transverse flexibility,img
4,1,C18,70,212.47529,212.519,Length4_Stiffnessindex1_StrengthclassC18_CCHeight70_GH_Print.png
5,1,C18,70,517.542913,517.645,Length5_Stiffnessindex1_StrengthclassC18_CCHeight70_GH_Print.png
6,1,C18,70,1071.830272,1072.033,Length6_Stiffnessindex1_StrengthclassC18_CCHeight70_GH_Print.png
7,1,C18,70,1984.193527,1984.543,Length7_Stiffnessindex1_StrengthclassC18_CCHeight70_GH_Print.png
8,1,C18,70,3383.280868,3383.822,Length8_Stiffnessindex1_StrengthclassC18_CCHeight70_GH_Print.png
3,3,C18,70,46.096514,46.107,Length3_Stiffnessindex3_StrengthclassC18_CCHeight70_GH_Print.png
4,3,C18,70,144.629725,144.663,Length4_Stiffnessindex3_StrengthclassC18_CCHeight70_GH_Print.png
5,3,C18,70,351.904325,351.984,Length5_Stiffnessindex3_StrengthclassC18_CCHeight70_GH_Print.png
6,3,C18,70,728.362097,728.522,Length6_Stiffnessindex3_StrengthclassC18_CCHeight70_GH_Print.png
7,3,C18,70,1347.87633,1348.16,Length7_Stiffnessindex3_StrengthclassC18_CCHeight70_GH_Print.png
8,3,C18,70,2297.751821,2298.21,Length8_Stiffnessindex3_StrengthclassC18_CCHeight70_GH_Print.png
3,8,C18,70,33.555406,33.564,Length3_Stiffnessindex8_StrengthclassC18_CCHeight70_GH_Print.png
4,8,C18,70,104.993631,105.021,Length4_Stiffnessindex8_StrengthclassC18_CCHeight70_GH_Print.png
5,8,C18,70,255.136519,255.201,Length5_Stiffnessindex8_StrengthclassC18_CCHeight70_GH_Print.png
6,8,C18,70,527.704374,527.836,Length6_Stiffnessindex8_StrengthclassC18_CCHeight70_GH_Print.png
7,8,C18,70,976.133125,976.371,Length7_Stiffnessindex8_StrengthclassC18_CCHeight70_GH_Print.png
8,8,C18,70,1663.574326,1663.966,Length8_Stiffnessindex8_StrengthclassC18_CCHeight70_GH_Print.png
3,16,C18,70,27.249996,27.258,Length3_Stiffnessindex16_StrengthclassC18_CCHeight70_GH_Print.png
4,16,C18,70,85.065421,85.089,Length4_Stiffnessindex16_StrengthclassC18_CCHeight70_GH_Print.png
5,16,C18,70,206.483662,206.541,Length5_Stiffnessindex16_StrengthclassC18_CCHeight70_GH_Print.png
6,16,C18,70,426.817809,426.935,Length6_Stiffnessindex16_StrengthclassC18_CCHeight70_GH_Print.png
7,16,C18,70,789.228309,789.441,Length7_Stiffnessindex16_StrengthclassC18_CCHeight70_GH_Print.png
8,16,C18,70,1344.722961,1345.076,Length8_Stiffnessindex16_StrengthclassC18_CCHeight70_GH_Print.png
3,27,C18,70,24.006399,24.013,Length3_Stiffnessindex27_StrengthclassC18_CCHeight70_GH_Print.png
4,27,C18,70,74.814052,74.836,Length4_Stiffnessindex27_StrengthclassC18_CCHeight70_GH_Print.png
5,27,C18,70,181.455906,181.509,Length5_Stiffnessindex27_StrengthclassC18_CCHeight70_GH_Print.png
