Iter,Loss
1.0000e+02,6.6976e+02
2.0000e+02,6.1973e+02
3.0000e+02,5.8124e+02
4.0000e+02,5.5048e+02
5.0000e+02,5.2437e+02
6.0000e+02,5.0092e+02
7.0000e+02,4.7925e+02
8.0000e+02,4.5895e+02
9.0000e+02,4.3981e+02
1.0000e+03,4.2170e+02
1.1000e+03,4.0456e+02
1.2000e+03,3.8830e+02
1.3000e+03,3.7286e+02
1.4000e+03,3.5816e+02
1.5000e+03,3.4411e+02
1.6000e+03,3.3066e+02
1.7000e+03,3.1777e+02
1.8000e+03,3.0542e+02
1.9000e+03,2.9355e+02
2.0000e+03,2.8213e+02
2.1000e+03,2.7115e+02
2.2000e+03,2.6059e+02
2.3000e+03,2.5041e+02
2.4000e+03,2.4060e+02
2.5000e+03,2.3113e+02
2.6000e+03,2.2202e+02
2.7000e+03,2.1324e+02
2.8000e+03,2.0479e+02
2.9000e+03,1.9665e+02
3.0000e+03,1.8881e+02
3.1000e+03,1.8124e+02
3.2000e+03,1.7392e+02
3.3000e+03,1.6686e+02
3.4000e+03,1.6008e+02
3.5000e+03,1.5357e+02
3.6000e+03,1.4731e+02
3.7000e+03,1.4131e+02
3.8000e+03,1.3553e+02
3.9000e+03,1.2998e+02
4.0000e+03,1.2463e+02
4.1000e+03,1.1948e+02
4.2000e+03,1.1452e+02
4.3000e+03,1.0975e+02
4.4000e+03,1.0516e+02
4.5000e+03,1.0075e+02
4.6000e+03,9.6498e+01
4.7000e+03,9.2408e+01
4.8000e+03,8.8464e+01
4.9000e+03,8.4666e+01
5.0000e+03,8.1013e+01
5.1000e+03,7.7500e+01
5.2000e+03,7.4124e+01
5.3000e+03,7.0882e+01
5.4000e+03,6.7769e+01
5.5000e+03,6.4781e+01
5.6000e+03,6.1911e+01
5.7000e+03,5.9153e+01
5.8000e+03,5.6500e+01
5.9000e+03,5.3952e+01
6.0000e+03,5.1507e+01
6.1000e+03,4.9164e+01
6.2000e+03,4.6918e+01
6.3000e+03,4.4764e+01
6.4000e+03,4.2694e+01
6.5000e+03,4.0703e+01
6.6000e+03,3.8794e+01
6.7000e+03,3.6966e+01
6.8000e+03,3.5216e+01
6.9000e+03,3.3543e+01
7.0000e+03,3.1942e+01
7.1000e+03,3.0409e+01
7.2000e+03,2.8940e+01
7.3000e+03,2.7532e+01
7.4000e+03,2.6181e+01
7.5000e+03,2.4887e+01
7.6000e+03,2.3647e+01
7.7000e+03,2.2459e+01
7.8000e+03,2.1320e+01
7.9000e+03,2.0230e+01
8.0000e+03,1.9188e+01
8.1000e+03,1.8192e+01
8.2000e+03,1.7243e+01
8.3000e+03,1.6337e+01
8.4000e+03,1.5473e+01
8.5000e+03,1.4650e+01
8.6000e+03,1.3866e+01
8.7000e+03,1.3119e+01
8.8000e+03,1.2409e+01
8.9000e+03,1.1733e+01
9.0000e+03,1.1091e+01
9.1000e+03,1.0482e+01
9.2000e+03,9.9033e+00
9.3000e+03,9.3542e+00
9.4000e+03,8.8332e+00
9.5000e+03,8.3388e+00
9.6000e+03,7.8702e+00
9.7000e+03,7.4261e+00
9.8000e+03,7.0051e+00
9.9000e+03,6.6061e+00
1.0000e+04,6.2281e+00
1.0100e+04,5.8699e+00
1.0200e+04,5.5310e+00
1.0300e+04,5.2104e+00
1.0400e+04,4.9084e+00
1.0500e+04,4.6220e+00
1.0600e+04,4.3527e+00
1.0700e+04,4.0990e+00
1.0800e+04,3.8600e+00
1.0900e+04,3.6350e+00
1.1000e+04,3.4228e+00
1.1100e+04,3.2226e+00
1.1200e+04,3.0333e+00
1.1300e+04,2.8543e+00
1.1400e+04,2.6847e+00
1.1500e+04,2.5238e+00
1.1600e+04,2.3713e+00
1.1700e+04,2.2266e+00
1.1800e+04,2.0893e+00
1.1900e+04,1.9592e+00
1.2000e+04,1.8362e+00
1.2100e+04,1.7197e+00
1.2200e+04,1.6100e+00
1.2300e+04,1.5065e+00
1.2400e+04,1.4092e+00
1.2500e+04,1.3179e+00
1.2600e+04,1.2323e+00
1.2700e+04,1.1527e+00
1.2800e+04,1.0773e+00
1.2900e+04,1.0074e+00
1.3000e+04,9.4213e-01
1.3100e+04,8.8232e-01
1.3200e+04,8.2445e-01
1.3300e+04,7.7148e-01
1.3400e+04,7.2226e-01
1.3500e+04,6.7628e-01
1.3600e+04,6.3304e-01
1.3700e+04,5.9299e-01
1.3800e+04,5.5553e-01
1.3900e+04,5.2062e-01
1.4000e+04,4.8804e-01
1.4100e+04,4.5762e-01
1.4200e+04,4.2924e-01
1.4300e+04,4.0284e-01
1.4400e+04,3.7804e-01
1.4500e+04,3.5502e-01
1.4600e+04,3.3357e-01
1.4700e+04,3.1355e-01
1.4800e+04,2.9495e-01
1.4900e+04,2.7758e-01
1.5000e+04,2.6143e-01
1.5100e+04,2.4652e-01
1.5200e+04,2.3273e-01
1.5300e+04,2.1952e-01
1.5400e+04,2.0733e-01
1.5500e+04,1.9608e-01
1.5600e+04,1.8559e-01
1.5700e+04,1.7584e-01
1.5800e+04,1.6676e-01
1.5900e+04,1.5831e-01
1.6000e+04,1.5041e-01
1.6100e+04,1.4303e-01
1.6200e+04,1.3615e-01
1.6300e+04,1.2973e-01
1.6400e+04,1.2375e-01
1.6500e+04,1.2034e-01
1.6600e+04,1.1291e-01
1.6700e+04,1.0804e-01
1.6800e+04,1.0345e-01
1.6900e+04,9.9330e-02
1.7000e+04,9.5256e-02
1.7100e+04,9.1520e-02
1.7200e+04,8.7927e-02
1.7300e+04,8.5626e-02
1.7400e+04,8.1563e-02
1.7500e+04,7.8680e-02
1.7600e+04,7.5977e-02
1.7700e+04,7.3439e-02
1.7800e+04,7.1488e-02
1.7900e+04,6.8817e-02
1.8000e+04,6.6713e-02
1.8100e+04,6.4975e-02
1.8200e+04,6.2871e-02
1.8300e+04,6.1118e-02
1.8400e+04,5.9475e-02
1.8500e+04,5.7906e-02
1.8600e+04,5.6438e-02
1.8700e+04,5.6336e-02
1.8800e+04,5.3727e-02
1.8900e+04,5.2483e-02
1.9000e+04,5.1607e-02
1.9100e+04,5.0183e-02
1.9200e+04,4.9159e-02
