Iter,Loss
1.0000e+02,6.9737e+02
2.0000e+02,6.4284e+02
3.0000e+02,5.8955e+02
4.0000e+02,5.4742e+02
5.0000e+02,5.1499e+02
6.0000e+02,4.8745e+02
7.0000e+02,4.6280e+02
8.0000e+02,4.4018e+02
9.0000e+02,4.1907e+02
1.0000e+03,3.9927e+02
1.1000e+03,3.8065e+02
1.2000e+03,3.6313e+02
1.3000e+03,3.4660e+02
1.4000e+03,3.3094e+02
1.5000e+03,3.1604e+02
1.6000e+03,3.0183e+02
1.7000e+03,2.8827e+02
1.8000e+03,2.7536e+02
1.9000e+03,2.6306e+02
2.0000e+03,2.5136e+02
2.1000e+03,2.4021e+02
2.2000e+03,2.2957e+02
2.3000e+03,2.1942e+02
2.4000e+03,2.0973e+02
2.5000e+03,2.0046e+02
2.6000e+03,1.9161e+02
2.7000e+03,1.8314e+02
2.8000e+03,1.7504e+02
2.9000e+03,1.6728e+02
3.0000e+03,1.5986e+02
3.1000e+03,1.5275e+02
3.2000e+03,1.4595e+02
3.3000e+03,1.3943e+02
3.4000e+03,1.3318e+02
3.5000e+03,1.2719e+02
3.6000e+03,1.2145e+02
3.7000e+03,1.1596e+02
3.8000e+03,1.1069e+02
3.9000e+03,1.0565e+02
4.0000e+03,1.0082e+02
4.1000e+03,9.6184e+01
4.2000e+03,9.1743e+01
4.3000e+03,8.7488e+01
4.4000e+03,8.3412e+01
4.5000e+03,7.9508e+01
4.6000e+03,7.5772e+01
4.7000e+03,7.2195e+01
4.8000e+03,6.8772e+01
4.9000e+03,6.5496e+01
5.0000e+03,6.2360e+01
5.1000e+03,5.9360e+01
5.2000e+03,5.6489e+01
5.3000e+03,5.3742e+01
5.4000e+03,5.1116e+01
5.5000e+03,4.8605e+01
5.6000e+03,4.6205e+01
5.7000e+03,4.3913e+01
5.8000e+03,4.1725e+01
5.9000e+03,3.9637e+01
6.0000e+03,3.7644e+01
6.1000e+03,3.5742e+01
6.2000e+03,3.3925e+01
6.3000e+03,3.2190e+01
6.4000e+03,3.0532e+01
6.5000e+03,2.8949e+01
6.6000e+03,2.7436e+01
6.7000e+03,2.5991e+01
6.8000e+03,2.4611e+01
6.9000e+03,2.3294e+01
7.0000e+03,2.2038e+01
7.1000e+03,2.0840e+01
7.2000e+03,1.9700e+01
7.3000e+03,1.8614e+01
7.4000e+03,1.7581e+01
7.5000e+03,1.6599e+01
7.6000e+03,1.5666e+01
7.7000e+03,1.4781e+01
7.8000e+03,1.3942e+01
7.9000e+03,1.3148e+01
8.0000e+03,1.2397e+01
8.1000e+03,1.1686e+01
8.2000e+03,1.1014e+01
8.3000e+03,1.0379e+01
8.4000e+03,9.7780e+00
8.5000e+03,9.2103e+00
8.6000e+03,8.6738e+00
8.7000e+03,8.1664e+00
8.8000e+03,7.6864e+00
8.9000e+03,7.2316e+00
9.0000e+03,6.8009e+00
9.1000e+03,6.3930e+00
9.2000e+03,6.0070e+00
9.3000e+03,5.6423e+00
9.4000e+03,5.2979e+00
9.5000e+03,4.9738e+00
9.6000e+03,4.6692e+00
9.7000e+03,4.3830e+00
9.8000e+03,4.1150e+00
9.9000e+03,3.8626e+00
1.0000e+04,3.6259e+00
1.0100e+04,3.4031e+00
1.0200e+04,3.1936e+00
1.0300e+04,2.9951e+00
1.0400e+04,2.8079e+00
1.0500e+04,2.6307e+00
1.0600e+04,2.4632e+00
1.0700e+04,2.3050e+00
1.0800e+04,2.1551e+00
1.0900e+04,2.0141e+00
1.1000e+04,1.8809e+00
1.1100e+04,1.7559e+00
1.1200e+04,1.6386e+00
1.1300e+04,1.5286e+00
1.1400e+04,1.4257e+00
1.1500e+04,1.3296e+00
1.1600e+04,1.2397e+00
1.1700e+04,1.1559e+00
1.1800e+04,1.0786e+00
1.1900e+04,1.0051e+00
1.2000e+04,9.3726e-01
1.2100e+04,8.7472e-01
1.2200e+04,8.1520e-01
1.2300e+04,7.6037e-01
1.2400e+04,7.0928e-01
1.2500e+04,6.6173e-01
1.2600e+04,6.1753e-01
1.2700e+04,5.7642e-01
1.2800e+04,5.3812e-01
1.2900e+04,5.0260e-01
1.3000e+04,4.6963e-01
1.3100e+04,4.3906e-01
1.3200e+04,4.1068e-01
1.3300e+04,3.8438e-01
1.3400e+04,3.6047e-01
1.3500e+04,3.3738e-01
1.3600e+04,3.1641e-01
1.3700e+04,2.9694e-01
1.3800e+04,2.7888e-01
1.3900e+04,2.6203e-01
1.4000e+04,2.4643e-01
1.4100e+04,2.3171e-01
1.4200e+04,2.1795e-01
1.4300e+04,2.0505e-01
1.4400e+04,1.9292e-01
1.4500e+04,1.8147e-01
1.4600e+04,1.7073e-01
1.4700e+04,1.6064e-01
1.4800e+04,1.5120e-01
1.4900e+04,1.4236e-01
1.5000e+04,1.3437e-01
1.5100e+04,1.2643e-01
1.5200e+04,1.1996e-01
1.5300e+04,1.1255e-01
1.5400e+04,1.0636e-01
1.5500e+04,1.0073e-01
1.5600e+04,9.5264e-02
1.5700e+04,9.2035e-02
1.5800e+04,8.5806e-02
