Iter,Loss
1.0000e+02,6.7963e+02
2.0000e+02,6.0241e+02
3.0000e+02,5.4461e+02
4.0000e+02,5.0524e+02
5.0000e+02,4.7262e+02
6.0000e+02,4.4382e+02
7.0000e+02,4.1765e+02
8.0000e+02,3.9363e+02
9.0000e+02,3.7150e+02
1.0000e+03,3.5101e+02
1.1000e+03,3.3191e+02
1.2000e+03,3.1402e+02
1.3000e+03,2.9718e+02
1.4000e+03,2.8131e+02
1.5000e+03,2.6636e+02
1.6000e+03,2.5225e+02
1.7000e+03,2.3891e+02
1.8000e+03,2.2629e+02
1.9000e+03,2.1434e+02
2.0000e+03,2.0305e+02
2.1000e+03,1.9238e+02
2.2000e+03,1.8231e+02
2.3000e+03,1.7277e+02
2.4000e+03,1.6374e+02
2.5000e+03,1.5518e+02
2.6000e+03,1.4706e+02
2.7000e+03,1.3937e+02
2.8000e+03,1.3207e+02
2.9000e+03,1.2516e+02
3.0000e+03,1.1860e+02
3.1000e+03,1.1237e+02
3.2000e+03,1.0645e+02
3.3000e+03,1.0083e+02
3.4000e+03,9.5482e+01
3.5000e+03,9.0402e+01
3.6000e+03,8.5571e+01
3.7000e+03,8.0978e+01
3.8000e+03,7.6611e+01
3.9000e+03,7.2462e+01
4.0000e+03,6.8521e+01
4.1000e+03,6.4781e+01
4.2000e+03,6.1233e+01
4.3000e+03,5.7866e+01
4.4000e+03,5.4674e+01
4.5000e+03,5.1646e+01
4.6000e+03,4.8776e+01
4.7000e+03,4.6055e+01
4.8000e+03,4.3475e+01
4.9000e+03,4.1030e+01
5.0000e+03,3.8712e+01
5.1000e+03,3.6515e+01
5.2000e+03,3.4433e+01
5.3000e+03,3.2459e+01
5.4000e+03,3.0588e+01
5.5000e+03,2.8813e+01
5.6000e+03,2.7128e+01
5.7000e+03,2.5531e+01
5.8000e+03,2.4017e+01
5.9000e+03,2.2583e+01
6.0000e+03,2.1225e+01
6.1000e+03,1.9940e+01
6.2000e+03,1.8726e+01
6.3000e+03,1.7578e+01
6.4000e+03,1.6494e+01
6.5000e+03,1.5473e+01
6.6000e+03,1.4511e+01
6.7000e+03,1.3607e+01
6.8000e+03,1.2757e+01
6.9000e+03,1.1958e+01
7.0000e+03,1.1205e+01
7.1000e+03,1.0497e+01
7.2000e+03,9.8283e+00
7.3000e+03,9.1991e+00
7.4000e+03,8.6067e+00
7.5000e+03,8.0493e+00
7.6000e+03,7.5249e+00
7.7000e+03,7.0320e+00
7.8000e+03,6.5697e+00
7.9000e+03,6.1360e+00
8.0000e+03,5.7307e+00
8.1000e+03,5.3520e+00
8.2000e+03,4.9985e+00
8.3000e+03,4.6686e+00
8.4000e+03,4.3606e+00
8.5000e+03,4.0727e+00
8.6000e+03,3.8032e+00
8.7000e+03,3.5504e+00
8.8000e+03,3.3125e+00
8.9000e+03,3.0881e+00
9.0000e+03,2.8766e+00
9.1000e+03,2.6786e+00
9.2000e+03,2.4905e+00
9.3000e+03,2.3154e+00
9.4000e+03,2.1517e+00
9.5000e+03,1.9990e+00
9.6000e+03,1.8570e+00
9.7000e+03,1.7250e+00
9.8000e+03,1.6025e+00
9.9000e+03,1.4883e+00
1.0000e+04,1.3825e+00
1.0100e+04,1.2843e+00
1.0200e+04,1.1927e+00
1.0300e+04,1.1077e+00
1.0400e+04,1.0286e+00
1.0500e+04,9.5504e-01
1.0600e+04,8.8653e-01
1.0700e+04,8.2271e-01
1.0800e+04,7.6323e-01
1.0900e+04,7.0806e-01
1.1000e+04,6.5609e-01
1.1100e+04,6.0810e-01
1.1200e+04,5.6305e-01
1.1300e+04,5.2129e-01
1.1400e+04,4.8250e-01
1.1500e+04,4.4660e-01
1.1600e+04,4.1324e-01
1.1700e+04,3.8251e-01
1.1800e+04,3.5446e-01
1.1900e+04,3.2866e-01
1.2000e+04,3.0460e-01
1.2100e+04,2.8248e-01
1.2200e+04,2.6255e-01
1.2300e+04,2.4435e-01
1.2400e+04,2.2769e-01
1.2500e+04,2.1239e-01
1.2600e+04,1.9819e-01
1.2700e+04,1.8497e-01
1.2800e+04,1.7240e-01
1.2900e+04,1.6073e-01
