Iter,Loss
1.0000e+02,6.8658e+02
2.0000e+02,6.4659e+02
3.0000e+02,6.0709e+02
4.0000e+02,5.7944e+02
5.0000e+02,5.5696e+02
6.0000e+02,5.3700e+02
7.0000e+02,5.1859e+02
8.0000e+02,5.0131e+02
9.0000e+02,4.8494e+02
1.0000e+03,4.6935e+02
1.1000e+03,4.5442e+02
1.2000e+03,4.4010e+02
1.3000e+03,4.2635e+02
1.4000e+03,4.1314e+02
1.5000e+03,4.0041e+02
1.6000e+03,3.8812e+02
1.7000e+03,3.7624e+02
1.8000e+03,3.6476e+02
1.9000e+03,3.5365e+02
2.0000e+03,3.4288e+02
2.1000e+03,3.3244e+02
2.2000e+03,3.2230e+02
2.3000e+03,3.1245e+02
2.4000e+03,3.0288e+02
2.5000e+03,2.9358e+02
2.6000e+03,2.8455e+02
2.7000e+03,2.7580e+02
2.8000e+03,2.6731e+02
2.9000e+03,2.5907e+02
3.0000e+03,2.5106e+02
3.1000e+03,2.4329e+02
3.2000e+03,2.3576e+02
3.3000e+03,2.2844e+02
3.4000e+03,2.2134e+02
3.5000e+03,2.1444e+02
3.6000e+03,2.0774e+02
3.7000e+03,2.0123e+02
3.8000e+03,1.9491e+02
3.9000e+03,1.8877e+02
4.0000e+03,1.8280e+02
4.1000e+03,1.7698e+02
4.2000e+03,1.7131e+02
4.3000e+03,1.6583e+02
4.4000e+03,1.6052e+02
4.5000e+03,1.5536e+02
4.6000e+03,1.5036e+02
4.7000e+03,1.4550e+02
4.8000e+03,1.4078e+02
4.9000e+03,1.3620e+02
5.0000e+03,1.3174e+02
5.1000e+03,1.2741e+02
5.2000e+03,1.2320e+02
5.3000e+03,1.1910e+02
5.4000e+03,1.1512e+02
5.5000e+03,1.1126e+02
5.6000e+03,1.0750e+02
5.7000e+03,1.0386e+02
5.8000e+03,1.0033e+02
5.9000e+03,9.6895e+01
6.0000e+03,9.3567e+01
6.1000e+03,9.0339e+01
6.2000e+03,8.7209e+01
6.3000e+03,8.4175e+01
6.4000e+03,8.1234e+01
6.5000e+03,7.8383e+01
6.6000e+03,7.5619e+01
6.7000e+03,7.2939e+01
6.8000e+03,7.0341e+01
6.9000e+03,6.7823e+01
7.0000e+03,6.5384e+01
7.1000e+03,6.3020e+01
7.2000e+03,6.0731e+01
7.3000e+03,5.8513e+01
7.4000e+03,5.6365e+01
7.5000e+03,5.4285e+01
7.6000e+03,5.2272e+01
7.7000e+03,5.0326e+01
7.8000e+03,4.8444e+01
7.9000e+03,4.6626e+01
8.0000e+03,4.4869e+01
8.1000e+03,4.3172e+01
8.2000e+03,4.1533e+01
