Outer fold,Inner fold,Hyperparameter,Training error,Validation error,Weighted v. error
1.000000,6.000000,8.000000,0.126518,0.269849,0.038550
1.000000,6.000000,10.000000,0.093170,0.232431,0.033204
1.000000,6.000000,12.000000,0.578537,0.954137,0.136305
1.000000,6.000000,14.000000,0.058827,0.188782,0.026969
1.000000,6.000000,16.000000,0.021938,0.081957,0.011708
1.000000,6.000000,20.000000,0.478031,0.837826,0.119689
2.000000,0.000000,2.000000,7.413150,6.399976,0.914282
2.000000,0.000000,8.000000,1.189027,0.819607,0.117087
2.000000,0.000000,10.000000,0.061566,0.072512,0.010359
2.000000,0.000000,12.000000,0.192791,0.130486,0.018641
2.000000,0.000000,14.000000,0.027849,0.041655,0.005951
2.000000,0.000000,16.000000,0.038694,0.054268,0.007753
2.000000,0.000000,20.000000,0.488762,0.329826,0.047118
2.000000,1.000000,2.000000,7.240060,6.421801,0.917400
2.000000,1.000000,8.000000,0.297507,0.332120,0.047446
2.000000,1.000000,10.000000,0.568442,0.709209,0.101316
2.000000,1.000000,12.000000,0.044712,0.051367,0.007338
2.000000,1.000000,14.000000,0.029105,0.040166,0.005738
2.000000,1.000000,16.000000,0.015628,0.031810,0.004544
2.000000,1.000000,20.000000,0.028344,0.091577,0.013082
2.000000,2.000000,2.000000,7.112339,7.452322,1.064617
2.000000,2.000000,8.000000,0.344840,0.265392,0.037913
2.000000,2.000000,10.000000,0.290867,0.096114,0.013731
2.000000,2.000000,12.000000,0.032633,0.047409,0.006773
2.000000,2.000000,14.000000,0.079586,0.088225,0.012604
2.000000,2.000000,16.000000,0.066158,0.084734,0.012105
2.000000,2.000000,20.000000,0.167162,0.098977,0.014140
2.000000,3.000000,2.000000,7.354748,8.925912,1.275130
2.000000,3.000000,8.000000,0.461003,0.574696,0.082099
2.000000,3.000000,10.000000,0.064343,0.107361,0.015337
2.000000,3.000000,12.000000,0.182635,0.291102,0.041586
2.000000,3.000000,14.000000,0.108002,0.163426,0.023347
2.000000,3.000000,16.000000,1.205248,1.611363,0.230195
2.000000,3.000000,20.000000,0.359945,0.555350,0.079336
2.000000,4.000000,2.000000,8.004512,7.665703,1.095100
2.000000,4.000000,8.000000,0.298773,0.691397,0.098771
2.000000,4.000000,10.000000,0.191956,0.559663,0.079952
2.000000,4.000000,12.000000,0.218117,0.669247,0.095607
2.000000,4.000000,14.000000,0.035825,0.099855,0.014265
2.000000,4.000000,16.000000,0.097247,0.349657,0.049951
2.000000,4.000000,20.000000,0.043212,0.190951,0.027279
2.000000,5.000000,2.000000,6.985496,9.391088,1.341584
2.000000,5.000000,8.000000,0.816673,0.707080,0.101011
2.000000,5.000000,10.000000,0.051068,0.131900,0.018843
2.000000,5.000000,12.000000,0.050174,0.101422,0.014489
2.000000,5.000000,14.000000,0.027432,0.077511,0.011073
2.000000,5.000000,16.000000,0.144665,0.182829,0.026118
2.000000,5.000000,20.000000,0.032516,0.115901,0.016557
2.000000,6.000000,2.000000,7.983198,7.606969,1.086710
2.000000,6.000000,8.000000,0.560893,0.393167,0.056167
2.000000,6.000000,10.000000,0.129208,0.106808,0.015258
2.000000,6.000000,12.000000,0.116383,0.074477,0.010640
2.000000,6.000000,14.000000,0.074883,0.094757,0.013537
2.000000,6.000000,16.000000,0.120141,0.110374,0.015768
2.000000,6.000000,20.000000,0.028004,0.054840,0.007834
3.000000,0.000000,2.000000,7.582204,7.120312,1.017187
3.000000,0.000000,8.000000,0.520582,0.573000,0.081857
3.000000,0.000000,10.000000,0.201434,0.193656,0.027665
3.000000,0.000000,12.000000,0.204573,0.198372,0.028339
3.000000,0.000000,14.000000,0.282633,0.303659,0.043380
3.000000,0.000000,16.000000,0.055111,0.068676,0.009811
3.000000,0.000000,20.000000,0.032151,0.066835,0.009548
3.000000,1.000000,2.000000,6.998345,7.739537,1.105648
3.000000,1.000000,8.000000,0.110498,0.222554,0.031793
3.000000,1.000000,10.000000,0.097036,0.171806,0.024544
3.000000,1.000000,12.000000,0.132547,0.141890,0.020270
3.000000,1.000000,14.000000,0.202645,0.167574,0.023939
3.000000,1.000000,16.000000,0.069381,0.134608,0.019230
3.000000,1.000000,20.000000,0.087390,0.135780,0.019397
3.000000,2.000000,2.000000,7.756058,7.846457,1.120922
3.000000,2.000000,8.000000,0.089127,0.123467,0.017638
3.000000,2.000000,10.000000,0.179101,0.217253,0.031036
3.000000,2.000000,12.000000,0.062566,0.112714,0.016102
3.000000,2.000000,14.000000,0.182418,0.240660,0.034380
3.000000,2.000000,16.000000,0.031624,0.051800,0.007400
3.000000,2.000000,20.000000,0.044979,0.157282,0.022469
3.000000,3.000000,2.000000,7.413951,7.170337,1.024334
3.000000,3.000000,8.000000,0.224977,0.235163,0.033595
3.000000,3.000000,10.000000,0.062076,0.091754,0.013108
3.000000,3.000000,12.000000,0.043372,0.075667,0.010810
3.000000,3.000000,14.000000,0.085628,0.094038,0.013434
3.000000,3.000000,16.000000,0.038029,0.055416,0.007917
3.000000,3.000000,20.000000,0.030306,0.049235,0.007034
3.000000,4.000000,2.000000,7.183155,8.765906,1.252272
3.000000,4.000000,8.000000,0.245558,0.269133,0.038448
3.000000,4.000000,10.000000,0.147609,0.229369,0.032767
3.000000,4.000000,12.000000,0.108714,0.217857,0.031122
3.000000,4.000000,14.000000,0.086513,0.221587,0.031655
3.000000,4.000000,16.000000,0.061021,0.114820,0.016403
3.000000,4.000000,20.000000,0.099238,0.238909,0.034130
3.000000,5.000000,2.000000,7.386993,8.584490,1.226356
3.000000,5.000000,8.000000,0.440296,0.285597,0.040800
3.000000,5.000000,10.000000,0.144769,0.084773,0.012110
3.000000,5.000000,12.000000,0.109023,0.053115,0.007588
3.000000,5.000000,14.000000,0.358161,0.202653,0.028950
3.000000,5.000000,16.000000,0.033435,0.034570,0.004939
3.000000,5.000000,20.000000,0.033724,0.075384,0.010769
3.000000,6.000000,2.000000,7.346498,6.434433,0.919205
3.000000,6.000000,8.000000,0.576853,0.814848,0.116407
3.000000,6.000000,10.000000,0.094090,0.209704,0.029958
3.000000,6.000000,12.000000,0.901764,1.339735,0.191391
3.000000,6.000000,14.000000,0.525580,0.845691,0.120813
3.000000,6.000000,16.000000,0.344888,0.603646,0.086235
3.000000,6.000000,20.000000,0.042378,0.140351,0.020050
4.000000,0.000000,2.000000,7.144788,7.299861,1.042837
4.000000,0.000000,8.000000,0.426069,1.102702,0.157529
4.000000,0.000000,10.000000,0.111943,0.270128,0.038590
4.000000,0.000000,12.000000,0.620148,1.848440,0.264063
