Outer fold,Inner fold,Hyperparameter,Training error,Validation error,Weighted v. error
2.000000,1.000000,14.000000,0.094576,0.150175,0.021457
2.000000,1.000000,18.000000,0.113319,0.207660,0.029670
2.000000,1.000000,24.000000,0.068997,0.186876,0.026701
2.000000,1.000000,28.000000,0.046545,0.184441,0.026353
2.000000,2.000000,2.000000,0.650258,0.641050,0.091593
2.000000,2.000000,8.000000,0.206970,0.222765,0.031829
2.000000,2.000000,14.000000,0.101924,0.165255,0.023612
2.000000,2.000000,18.000000,0.086368,0.193978,0.027716
2.000000,2.000000,24.000000,0.037182,0.217250,0.031040
2.000000,2.000000,28.000000,0.033465,0.316819,0.045267
2.000000,3.000000,2.000000,0.546608,0.551488,0.078796
2.000000,3.000000,8.000000,0.178801,0.276529,0.039510
2.000000,3.000000,14.000000,0.082188,0.156891,0.022417
2.000000,3.000000,18.000000,0.082562,0.179877,0.025701
2.000000,3.000000,24.000000,0.054139,0.261818,0.037408
2.000000,3.000000,28.000000,0.035777,0.252475,0.036073
2.000000,4.000000,2.000000,0.453927,0.562877,0.080423
2.000000,4.000000,8.000000,0.190650,0.232815,0.033264
2.000000,4.000000,14.000000,0.141946,0.216223,0.030894
2.000000,4.000000,18.000000,0.071854,0.167890,0.023988
2.000000,4.000000,24.000000,0.050134,0.224718,0.032108
2.000000,4.000000,28.000000,0.041177,0.319302,0.045622
2.000000,5.000000,2.000000,0.473974,0.435014,0.062121
2.000000,5.000000,8.000000,0.229912,0.262451,0.037478
2.000000,5.000000,14.000000,0.098248,0.165469,0.023629
2.000000,5.000000,18.000000,0.061824,0.147877,0.021117
2.000000,5.000000,24.000000,0.046499,0.272822,0.038960
2.000000,5.000000,28.000000,0.045411,0.205740,0.029380
2.000000,6.000000,2.000000,0.543683,0.571255,0.081576
2.000000,6.000000,8.000000,0.227569,0.249573,0.035640
2.000000,6.000000,14.000000,0.130181,0.199016,0.028420
2.000000,6.000000,18.000000,0.077151,0.170091,0.024289
2.000000,6.000000,24.000000,0.052662,0.283303,0.040456
2.000000,6.000000,28.000000,0.035346,0.384098,0.054850
3.000000,0.000000,2.000000,0.555577,0.530761,0.075835
3.000000,0.000000,8.000000,0.192302,0.241228,0.034466
3.000000,0.000000,14.000000,0.103549,0.198268,0.028328
3.000000,0.000000,18.000000,0.070208,0.257941,0.036854
3.000000,0.000000,24.000000,0.044362,0.232792,0.033261
3.000000,0.000000,28.000000,0.047101,0.277741,0.039683
3.000000,1.000000,2.000000,0.541032,0.580897,0.082998
3.000000,1.000000,8.000000,0.159963,0.195823,0.027979
3.000000,1.000000,14.000000,0.100413,0.161520,0.023078
3.000000,1.000000,18.000000,0.056527,0.149459,0.021355
3.000000,1.000000,24.000000,0.040995,0.230353,0.032913
3.000000,1.000000,28.000000,0.053152,0.268775,0.038402
3.000000,2.000000,2.000000,0.615693,0.559076,0.079880
3.000000,2.000000,8.000000,0.169287,0.231859,0.033128
3.000000,2.000000,14.000000,0.087247,0.135847,0.019410
3.000000,2.000000,18.000000,0.086526,0.229747,0.032826
3.000000,2.000000,24.000000,0.062928,0.209184,0.029888
3.000000,2.000000,28.000000,0.036543,0.252656,0.036099
3.000000,3.000000,2.000000,0.544726,0.559792,0.079983
3.000000,3.000000,8.000000,0.233109,0.240175,0.034316
3.000000,3.000000,14.000000,0.162908,0.200968,0.028714
3.000000,3.000000,18.000000,0.094426,0.235033,0.033581
3.000000,3.000000,24.000000,0.044881,0.212574,0.030372
3.000000,3.000000,28.000000,0.040619,0.227361,0.032485
3.000000,4.000000,2.000000,0.633622,0.742305,0.106060
3.000000,4.000000,8.000000,0.161240,0.229810,0.032835
3.000000,4.000000,14.000000,0.108803,0.201643,0.028811
3.000000,4.000000,18.000000,0.050623,0.157012,0.022434
3.000000,4.000000,24.000000,0.047072,0.184346,0.026339
3.000000,4.000000,28.000000,0.036544,0.255225,0.036466
3.000000,5.000000,2.000000,0.530658,0.647497,0.092464
3.000000,5.000000,8.000000,0.190103,0.313143,0.044717
3.000000,5.000000,14.000000,0.147705,0.302045,0.043133
3.000000,5.000000,18.000000,0.072500,0.206856,0.029539
3.000000,5.000000,24.000000,0.044261,0.308148,0.044004
3.000000,5.000000,28.000000,0.057171,0.295884,0.042253
3.000000,6.000000,2.000000,0.483740,0.391199,0.055864
3.000000,6.000000,8.000000,0.241059,0.177806,0.025391
3.000000,6.000000,14.000000,0.109455,0.108026,0.015426
3.000000,6.000000,18.000000,0.073955,0.163823,0.023394
3.000000,6.000000,24.000000,0.040622,0.256339,0.036606
3.000000,6.000000,28.000000,0.031330,0.217808,0.031103
4.000000,0.000000,2.000000,0.461596,0.524309,0.074913
4.000000,0.000000,8.000000,0.201713,0.265250,0.037899
4.000000,0.000000,14.000000,0.089336,0.245938,0.035140
4.000000,0.000000,18.000000,0.055538,0.230565,0.032943
4.000000,0.000000,24.000000,0.034508,0.322549,0.046086
4.000000,0.000000,28.000000,0.032411,0.255959,0.036571
4.000000,1.000000,2.000000,0.545964,0.550707,0.078685
4.000000,1.000000,8.000000,0.184157,0.260411,0.037207
4.000000,1.000000,14.000000,0.105716,0.172431,0.024637
4.000000,1.000000,18.000000,0.079106,0.251128,0.035881
4.000000,1.000000,24.000000,0.053807,0.289594,0.041377
4.000000,1.000000,28.000000,0.045878,0.389090,0.055593
4.000000,2.000000,2.000000,0.550110,0.526651,0.075248
4.000000,2.000000,8.000000,0.231653,0.253023,0.036152
4.000000,2.000000,14.000000,0.085371,0.154824,0.022121
4.000000,2.000000,18.000000,0.063798,0.129408,0.018490
4.000000,2.000000,24.000000,0.039768,0.254410,0.036350
4.000000,2.000000,28.000000,0.031394,0.241592,0.034518
4.000000,3.000000,2.000000,0.559739,0.488327,0.069772
4.000000,3.000000,8.000000,0.172524,0.236308,0.033763
4.000000,3.000000,14.000000,0.108091,0.149017,0.021291
4.000000,3.000000,18.000000,0.055317,0.117887,0.016844
4.000000,3.000000,24.000000,0.072504,0.259178,0.037031
4.000000,3.000000,28.000000,0.041640,0.342367,0.048917
4.000000,4.000000,2.000000,0.464436,0.500954,0.071576
4.000000,4.000000,8.000000,0.195762,0.238795,0.034119
4.000000,4.000000,14.000000,0.149375,0.225732,0.032252
4.000000,4.000000,18.000000,0.073075,0.176907,0.025276
4.000000,4.000000,24.000000,0.056957,0.277254,0.039614
4.000000,4.000000,28.000000,0.032601,0.254299,0.036334
4.000000,5.000000,2.000000,0.538683,0.617422,0.088169
4.000000,5.000000,8.000000,0.198841,0.314708,0.044941
4.000000,5.000000,14.000000,0.094644,0.205186,0.029301
4.000000,5.000000,18.000000,0.062940,0.253294,0.036171
4.000000,5.000000,24.000000,0.049470,0.194529,0.027779
4.000000,5.000000,28.000000,0.039055,0.209931,0.029978
4.000000,6.000000,2.000000,0.562077,0.454943,0.064967
4.000000,6.000000,8.000000,0.204114,0.216682,0.030943
4.000000,6.000000,14.000000,0.106488,0.147659,0.021086
4.000000,6.000000,18.000000,0.095322,0.145195,0.020734
4.000000,6.000000,24.000000,0.035015,0.160460,0.022914
4.000000,6.000000,28.000000,0.041876,0.226037,0.032279
5.000000,0.000000,2.000000,0.631437,0.763073,0.109019
5.000000,0.000000,8.000000,0.204977,0.284238,0.040609
5.000000,0.000000,14.000000,0.133399,0.188018,0.026862
5.000000,0.000000,18.000000,0.110153,0.308353,0.044054
5.000000,0.000000,24.000000,0.075327,0.233272,0.033327
5.000000,0.000000,28.000000,0.034312,0.278384,0.039772
5.000000,1.000000,2.000000,0.662952,0.598550,0.085514
5.000000,1.000000,8.000000,0.177101,0.203046,0.029009
5.000000,1.000000,14.000000,0.076834,0.133651,0.019095
5.000000,1.000000,18.000000,0.080797,0.137744,0.019679
5.000000,1.000000,24.000000,0.039937,0.172132,0.024592
5.000000,1.000000,28.000000,0.135087,0.232646,0.033238
5.000000,2.000000,2.000000,0.469598,0.475209,0.067892
5.000000,2.000000,8.000000,0.197499,0.217452,0.031067
5.000000,2.000000,14.000000,0.074665,0.100762,0.014396
5.000000,2.000000,18.000000,0.073617,0.176438,0.025207
5.000000,2.000000,24.000000,0.075048,0.309880,0.044272
5.000000,2.000000,28.000000,0.033579,0.316909,0.045276
5.000000,3.000000,2.000000,0.555800,0.488803,0.069834
5.000000,3.000000,8.000000,0.233363,0.232041,0.033151
5.000000,3.000000,14.000000,0.110283,0.169006,0.024146
5.000000,3.000000,18.000000,0.098804,0.145448,0.020780
5.000000,3.000000,24.000000,0.037628,0.205282,0.029328
5.000000,3.000000,28.000000,0.038339,0.190909,0.027275
5.000000,4.000000,2.000000,0.541390,0.575061,0.082158
5.000000,4.000000,8.000000,0.218671,0.258186,0.036887
5.000000,4.000000,14.000000,0.085712,0.177722,0.025391
5.000000,4.000000,18.000000,0.077975,0.270252,0.038610
5.000000,4.000000,24.000000,0.045206,0.273304,0.039046
5.000000,4.000000,28.000000,0.036193,0.251336,0.035908
5.000000,5.000000,2.000000,0.538087,0.595093,0.085020
5.000000,5.000000,8.000000,0.217157,0.313383,0.044772
5.000000,5.000000,14.000000,0.130680,0.245935,0.035136
5.000000,5.000000,18.000000,0.089467,0.236987,0.033858
5.000000,5.000000,24.000000,0.054243,0.262810,0.037547
5.000000,5.000000,28.000000,0.038300,0.270864,0.038698
5.000000,6.000000,2.000000,0.541968,0.575462,0.082171
5.000000,6.000000,8.000000,0.198317,0.254256,0.036305
5.000000,6.000000,14.000000,0.121554,0.207026,0.029561
5.000000,6.000000,18.000000,0.076337,0.188928,0.026977
5.000000,6.000000,24.000000,0.064873,0.218932,0.031261
5.000000,6.000000,28.000000,0.045517,0.192406,0.027474
6.000000,0.000000,2.000000,0.655344,0.605068,0.086445
6.000000,0.000000,8.000000,0.201237,0.168047,0.024009
6.000000,0.000000,14.000000,0.093487,0.146607,0.020945
6.000000,0.000000,18.000000,0.124237,0.194508,0.027789
6.000000,0.000000,24.000000,0.041899,0.176668,0.025240
6.000000,0.000000,28.000000,0.098060,0.228082,0.032586
6.000000,1.000000,2.000000,0.550178,0.549469,0.078502
6.000000,1.000000,8.000000,0.191273,0.212160,0.030311
6.000000,1.000000,14.000000,0.115687,0.212188,0.030315
6.000000,1.000000,18.000000,0.059320,0.184012,0.026289
6.000000,1.000000,24.000000,0.071042,0.312945,0.044710
6.000000,1.000000,28.000000,0.030352,0.330485,0.047216
6.000000,2.000000,2.000000,0.651997,0.641341,0.091627
6.000000,2.000000,8.000000,0.143325,0.192456,0.027496
6.000000,2.000000,14.000000,0.081808,0.221587,0.031658
6.000000,2.000000,18.000000,0.068460,0.163123,0.023305
6.000000,2.000000,24.000000,0.046502,0.184080,0.026299
6.000000,2.000000,28.000000,0.038632,0.318048,0.045439
6.000000,3.000000,2.000000,0.541257,0.584730,0.083539
6.000000,3.000000,8.000000,0.215992,0.283248,0.040467
6.000000,3.000000,14.000000,0.088523,0.158814,0.022689
6.000000,3.000000,18.000000,0.047242,0.189168,0.027026
6.000000,3.000000,24.000000,0.041471,0.191863,0.027411
6.000000,3.000000,28.000000,0.035782,0.261555,0.037368
6.000000,4.000000,2.000000,0.582715,0.601038,0.085869
6.000000,4.000000,8.000000,0.186349,0.207080,0.029585
6.000000,4.000000,14.000000,0.090973,0.214756,0.030682
