Optimal hyperparameter,RMSE,R-squared
14.000000,0.404681,0.893173
14.000000,0.399715,0.883803
18.000000,0.475842,0.864935
14.000000,0.454356,0.865468
14.000000,0.443312,0.882384
14.000000,0.436289,0.885809
18.000000,0.356486,0.915587
18.000000,0.477880,0.863679
14.000000,0.438719,0.872451
14.000000,0.465678,0.877272
