Iter,Loss
1.0000e+02,1.4232e+00
2.0000e+02,1.1909e+00
3.0000e+02,1.1107e+00
4.0000e+02,1.0320e+00
5.0000e+02,9.3096e-01
6.0000e+02,7.9187e-01
7.0000e+02,6.6880e-01
8.0000e+02,5.9019e-01
9.0000e+02,5.1865e-01
1.0000e+03,4.5939e-01
1.1000e+03,4.1867e-01
1.2000e+03,3.8921e-01
1.3000e+03,3.6543e-01
1.4000e+03,3.4409e-01
1.5000e+03,3.2312e-01
1.6000e+03,3.0385e-01
1.7000e+03,2.8764e-01
1.8000e+03,2.7359e-01
1.9000e+03,2.6097e-01
2.0000e+03,2.4943e-01
2.1000e+03,2.3880e-01
2.2000e+03,2.2897e-01
2.3000e+03,2.1981e-01
2.4000e+03,2.1119e-01
2.5000e+03,2.0296e-01
2.6000e+03,1.9509e-01
2.7000e+03,1.8765e-01
2.8000e+03,1.8075e-01
2.9000e+03,1.7441e-01
3.0000e+03,1.6860e-01
3.1000e+03,1.6331e-01
3.2000e+03,1.5845e-01
3.3000e+03,1.5390e-01
3.4000e+03,1.4952e-01
3.5000e+03,1.4520e-01
3.6000e+03,1.4093e-01
3.7000e+03,1.3681e-01
3.8000e+03,1.3290e-01
3.9000e+03,1.2926e-01
4.0000e+03,1.2594e-01
4.1000e+03,1.2291e-01
4.2000e+03,1.2016e-01
4.3000e+03,1.1763e-01
4.4000e+03,1.1531e-01
4.5000e+03,1.1316e-01
4.6000e+03,1.1114e-01
4.7000e+03,1.0923e-01
4.8000e+03,1.0742e-01
