Iter,Loss
1.0000e+02,2.0936e+00
2.0000e+02,1.4114e+00
3.0000e+02,1.2845e+00
4.0000e+02,1.2067e+00
5.0000e+02,1.1395e+00
6.0000e+02,1.0757e+00
7.0000e+02,1.0075e+00
8.0000e+02,9.3007e-01
9.0000e+02,8.3905e-01
1.0000e+03,7.2777e-01
1.1000e+03,6.4886e-01
1.2000e+03,6.0257e-01
1.3000e+03,5.7033e-01
1.4000e+03,5.4199e-01
1.5000e+03,5.0701e-01
1.6000e+03,4.5975e-01
1.7000e+03,4.2637e-01
1.8000e+03,3.9981e-01
1.9000e+03,3.7614e-01
2.0000e+03,3.5437e-01
2.1000e+03,3.3527e-01
2.2000e+03,3.1843e-01
2.3000e+03,3.0345e-01
2.4000e+03,2.9044e-01
2.5000e+03,2.7902e-01
2.6000e+03,2.6901e-01
2.7000e+03,2.6010e-01
2.8000e+03,2.5192e-01
2.9000e+03,2.4425e-01
3.0000e+03,2.3697e-01
3.1000e+03,2.3018e-01
3.2000e+03,2.2416e-01
3.3000e+03,2.1888e-01
3.4000e+03,2.1420e-01
3.5000e+03,2.0996e-01
3.6000e+03,2.0604e-01
3.7000e+03,2.0234e-01
3.8000e+03,1.9868e-01
3.9000e+03,1.9506e-01
4.0000e+03,1.9166e-01
4.1000e+03,1.8845e-01
4.2000e+03,1.8538e-01
4.3000e+03,1.8242e-01
4.4000e+03,1.7955e-01
4.5000e+03,1.7675e-01
4.6000e+03,1.7395e-01
4.7000e+03,1.7102e-01
4.8000e+03,1.6787e-01
4.9000e+03,1.6461e-01
5.0000e+03,1.6128e-01
5.1000e+03,1.5785e-01
5.2000e+03,1.5414e-01
5.3000e+03,1.5047e-01
5.4000e+03,1.4704e-01
5.5000e+03,1.4379e-01
5.6000e+03,1.4079e-01
5.7000e+03,1.3814e-01
5.8000e+03,1.3576e-01
5.9000e+03,1.3362e-01
6.0000e+03,1.3167e-01
6.1000e+03,1.2991e-01
6.2000e+03,1.2828e-01
6.3000e+03,1.2678e-01
6.4000e+03,1.2534e-01
6.5000e+03,1.2396e-01
6.6000e+03,1.2259e-01
6.7000e+03,1.2123e-01
6.8000e+03,1.1980e-01
6.9000e+03,1.1832e-01
7.0000e+03,1.1667e-01
7.1000e+03,1.1489e-01
7.2000e+03,1.1294e-01
7.3000e+03,1.1088e-01
7.4000e+03,1.0906e-01
7.5000e+03,1.0763e-01
7.6000e+03,1.0639e-01
7.7000e+03,1.0530e-01
7.8000e+03,1.0430e-01
7.9000e+03,1.0342e-01
8.0000e+03,1.0244e-01
8.1000e+03,1.0158e-01
8.2000e+03,1.0072e-01
8.3000e+03,9.9853e-02
8.4000e+03,9.8928e-02
8.5000e+03,9.8010e-02
8.6000e+03,9.7136e-02
8.7000e+03,9.6307e-02
8.8000e+03,9.5521e-02
8.9000e+03,9.4797e-02
9.0000e+03,9.4190e-02
9.1000e+03,9.3447e-02
9.2000e+03,9.2861e-02
9.3000e+03,9.2202e-02
9.4000e+03,9.1612e-02
9.5000e+03,9.1048e-02
9.6000e+03,9.0464e-02
9.7000e+03,8.9892e-02
9.8000e+03,8.9362e-02
9.9000e+03,8.8897e-02
1.0000e+04,8.8447e-02
1.0100e+04,8.8027e-02
1.0200e+04,8.7620e-02
1.0300e+04,8.7236e-02
1.0400e+04,8.6859e-02
1.0500e+04,8.6493e-02
1.0600e+04,8.6160e-02
1.0700e+04,8.5850e-02
1.0800e+04,8.5566e-02
1.0900e+04,8.5376e-02
1.1000e+04,8.5035e-02
1.1100e+04,8.4792e-02
1.1200e+04,8.4542e-02
1.1300e+04,8.4304e-02
1.1400e+04,8.4070e-02
1.1500e+04,8.3838e-02
1.1600e+04,8.3611e-02
1.1700e+04,8.3385e-02
1.1800e+04,8.3167e-02
1.1900e+04,8.2950e-02
1.2000e+04,8.2741e-02
1.2100e+04,8.2535e-02
1.2200e+04,8.2394e-02
