Iter,Loss
1.0000e+02,3.9689e+00
2.0000e+02,3.3548e+00
3.0000e+02,2.5526e+00
4.0000e+02,1.9614e+00
5.0000e+02,1.6895e+00
6.0000e+02,1.5620e+00
7.0000e+02,1.4992e+00
8.0000e+02,1.4655e+00
9.0000e+02,1.4441e+00
1.0000e+03,1.4274e+00
1.1000e+03,1.4123e+00
1.2000e+03,1.3974e+00
1.3000e+03,1.3824e+00
1.4000e+03,1.3670e+00
1.5000e+03,1.3515e+00
1.6000e+03,1.3358e+00
1.7000e+03,1.3195e+00
1.8000e+03,1.3028e+00
1.9000e+03,1.2860e+00
2.0000e+03,1.2690e+00
2.1000e+03,1.2518e+00
2.2000e+03,1.2342e+00
2.3000e+03,1.2158e+00
2.4000e+03,1.1961e+00
2.5000e+03,1.1747e+00
2.6000e+03,1.1502e+00
2.7000e+03,1.1214e+00
2.8000e+03,1.0896e+00
2.9000e+03,1.0575e+00
3.0000e+03,1.0262e+00
3.1000e+03,9.9697e-01
3.2000e+03,9.7018e-01
3.3000e+03,9.4547e-01
3.4000e+03,9.2251e-01
3.5000e+03,9.0104e-01
3.6000e+03,8.8089e-01
3.7000e+03,8.6191e-01
3.8000e+03,8.4398e-01
3.9000e+03,8.2703e-01
4.0000e+03,8.1098e-01
4.1000e+03,7.9580e-01
4.2000e+03,7.8145e-01
4.3000e+03,7.6788e-01
4.4000e+03,7.5508e-01
4.5000e+03,7.4301e-01
4.6000e+03,7.3164e-01
4.7000e+03,7.2094e-01
4.8000e+03,7.1089e-01
4.9000e+03,7.0145e-01
5.0000e+03,6.9260e-01
5.1000e+03,6.8430e-01
5.2000e+03,6.7652e-01
5.3000e+03,6.6924e-01
5.4000e+03,6.6243e-01
5.5000e+03,6.5606e-01
5.6000e+03,6.5011e-01
5.7000e+03,6.4453e-01
5.8000e+03,6.3930e-01
5.9000e+03,6.3439e-01
6.0000e+03,6.2975e-01
6.1000e+03,6.2531e-01
6.2000e+03,6.2095e-01
6.3000e+03,6.1635e-01
6.4000e+03,6.1027e-01
6.5000e+03,5.9711e-01
6.6000e+03,5.8175e-01
6.7000e+03,5.7466e-01
6.8000e+03,5.7078e-01
6.9000e+03,5.6788e-01
7.0000e+03,5.6544e-01
7.1000e+03,5.6331e-01
7.2000e+03,5.6142e-01
7.3000e+03,5.5974e-01
7.4000e+03,5.5823e-01
7.5000e+03,5.5688e-01
7.6000e+03,5.5566e-01
7.7000e+03,5.5456e-01
7.8000e+03,5.5357e-01
7.9000e+03,5.5267e-01
8.0000e+03,5.5186e-01
8.1000e+03,5.5112e-01
8.2000e+03,5.5046e-01
8.3000e+03,5.4985e-01
8.4000e+03,5.4930e-01
8.5000e+03,5.4880e-01
8.6000e+03,5.4835e-01
8.7000e+03,5.4794e-01
8.8000e+03,5.4756e-01
8.9000e+03,5.4722e-01
9.0000e+03,5.4690e-01
9.1000e+03,5.4662e-01
9.2000e+03,5.4636e-01
9.3000e+03,5.4612e-01
9.4000e+03,5.4590e-01
9.5000e+03,5.4570e-01
9.6000e+03,5.4552e-01
9.7000e+03,5.4535e-01
9.8000e+03,5.4520e-01
9.9000e+03,5.4506e-01
1.0000e+04,5.4493e-01
1.0100e+04,5.4481e-01
1.0200e+04,5.4471e-01
1.0300e+04,5.4461e-01
1.0400e+04,5.4452e-01
1.0500e+04,5.4443e-01
1.0600e+04,5.4436e-01
1.0700e+04,5.4429e-01
1.0800e+04,5.4423e-01
1.0900e+04,5.4417e-01
1.1000e+04,5.4411e-01
