Iter,Loss
1.0000e+02,1.7937e+00
2.0000e+02,1.2781e+00
3.0000e+02,1.1581e+00
4.0000e+02,1.0564e+00
5.0000e+02,9.4613e-01
6.0000e+02,8.2262e-01
7.0000e+02,7.1765e-01
8.0000e+02,6.3141e-01
9.0000e+02,5.6084e-01
1.0000e+03,5.0697e-01
1.1000e+03,4.6098e-01
1.2000e+03,4.2217e-01
1.3000e+03,3.9082e-01
1.4000e+03,3.6506e-01
1.5000e+03,3.4237e-01
1.6000e+03,3.2152e-01
1.7000e+03,3.0200e-01
1.8000e+03,2.8364e-01
1.9000e+03,2.6784e-01
2.0000e+03,2.5437e-01
2.1000e+03,2.4237e-01
2.2000e+03,2.3214e-01
2.3000e+03,2.2344e-01
2.4000e+03,2.1553e-01
2.5000e+03,2.0830e-01
2.6000e+03,2.0157e-01
2.7000e+03,1.9527e-01
2.8000e+03,1.8930e-01
2.9000e+03,1.8333e-01
3.0000e+03,1.7722e-01
3.1000e+03,1.7103e-01
3.2000e+03,1.6485e-01
3.3000e+03,1.5927e-01
3.4000e+03,1.5430e-01
3.5000e+03,1.4963e-01
3.6000e+03,1.4539e-01
3.7000e+03,1.4182e-01
3.8000e+03,1.3877e-01
3.9000e+03,1.3606e-01
4.0000e+03,1.3357e-01
4.1000e+03,1.3130e-01
4.2000e+03,1.2914e-01
4.3000e+03,1.2711e-01
4.4000e+03,1.2514e-01
4.5000e+03,1.2325e-01
4.6000e+03,1.2141e-01
4.7000e+03,1.1967e-01
4.8000e+03,1.1796e-01
4.9000e+03,1.1633e-01
5.0000e+03,1.1473e-01
5.1000e+03,1.1317e-01
5.2000e+03,1.1168e-01
5.3000e+03,1.1031e-01
5.4000e+03,1.0896e-01
5.5000e+03,1.0771e-01
5.6000e+03,1.0657e-01
5.7000e+03,1.0548e-01
5.8000e+03,1.0447e-01
5.9000e+03,1.0347e-01
6.0000e+03,1.0251e-01
6.1000e+03,1.0161e-01
6.2000e+03,1.0072e-01
6.3000e+03,9.9849e-02
6.4000e+03,9.9002e-02
6.5000e+03,9.8146e-02
6.6000e+03,9.7323e-02
6.7000e+03,9.6507e-02
6.8000e+03,9.5662e-02
6.9000e+03,9.4828e-02
7.0000e+03,9.4010e-02
7.1000e+03,9.3197e-02
7.2000e+03,9.2399e-02
7.3000e+03,9.1618e-02
7.4000e+03,9.0854e-02
7.5000e+03,9.0115e-02
7.6000e+03,8.9387e-02
7.7000e+03,8.8705e-02
7.8000e+03,8.8021e-02
7.9000e+03,8.7389e-02
8.0000e+03,8.6968e-02
8.1000e+03,8.6192e-02
8.2000e+03,8.5627e-02
8.3000e+03,8.5106e-02
8.4000e+03,8.4596e-02
8.5000e+03,8.4123e-02
8.6000e+03,8.3661e-02
8.7000e+03,8.3225e-02
8.8000e+03,8.2797e-02
8.9000e+03,8.2380e-02
9.0000e+03,8.2028e-02
9.1000e+03,8.1572e-02
9.2000e+03,8.1188e-02
9.3000e+03,8.0820e-02
9.4000e+03,8.0465e-02
9.5000e+03,8.0124e-02
9.6000e+03,7.9798e-02
9.7000e+03,7.9481e-02
9.8000e+03,7.9182e-02
9.9000e+03,7.8957e-02
1.0000e+04,7.8615e-02
1.0100e+04,7.8343e-02
1.0200e+04,7.8080e-02
1.0300e+04,7.7823e-02
1.0400e+04,7.7582e-02
1.0500e+04,7.7345e-02
1.0600e+04,7.7119e-02
1.0700e+04,7.6912e-02
1.0800e+04,7.6675e-02
1.0900e+04,7.6465e-02
1.1000e+04,7.6262e-02
1.1100e+04,7.6061e-02
1.1200e+04,7.5864e-02
1.1300e+04,7.5677e-02
1.1400e+04,7.5488e-02
1.1500e+04,7.5306e-02
1.1600e+04,7.5131e-02
1.1700e+04,7.4958e-02
1.1800e+04,7.4787e-02
1.1900e+04,7.4626e-02
1.2000e+04,7.4464e-02
1.2100e+04,7.4310e-02
1.2200e+04,7.4157e-02
1.2300e+04,7.4008e-02
1.2400e+04,7.3860e-02
1.2500e+04,7.3718e-02
1.2600e+04,7.3576e-02
1.2700e+04,7.3441e-02
1.2800e+04,7.3306e-02
1.2900e+04,7.3175e-02
1.3000e+04,7.3045e-02
1.3100e+04,7.2918e-02
1.3200e+04,7.2804e-02
1.3300e+04,7.2667e-02
1.3400e+04,7.2545e-02
1.3500e+04,7.2773e-02
1.3600e+04,7.2309e-02
1.3700e+04,7.2191e-02
1.3800e+04,7.2077e-02
1.3900e+04,7.1973e-02
1.4000e+04,7.1851e-02
1.4100e+04,7.1771e-02
1.4200e+04,7.1631e-02
1.4300e+04,7.1544e-02
1.4400e+04,7.1413e-02
1.4500e+04,7.1311e-02
1.4600e+04,7.1201e-02
1.4700e+04,7.1096e-02
1.4800e+04,7.1007e-02
1.4900e+04,7.0888e-02
1.5000e+04,7.0786e-02
1.5100e+04,7.0683e-02
1.5200e+04,7.0583e-02
1.5300e+04,7.0501e-02
1.5400e+04,7.0384e-02
1.5500e+04,7.0288e-02
1.5600e+04,7.0360e-02
1.5700e+04,7.0098e-02
1.5800e+04,7.0098e-02
1.5900e+04,6.9911e-02
1.6000e+04,7.0153e-02
1.6100e+04,6.9732e-02
1.6200e+04,6.9644e-02
1.6300e+04,6.9625e-02
1.6400e+04,6.9470e-02
1.6500e+04,6.9383e-02
1.6600e+04,6.9298e-02
1.6700e+04,6.9213e-02
1.6800e+04,6.9130e-02
1.6900e+04,6.9057e-02
1.7000e+04,6.8966e-02
1.7100e+04,6.8885e-02
1.7200e+04,6.8806e-02
1.7300e+04,6.8873e-02
1.7400e+04,6.8650e-02
1.7500e+04,6.8902e-02
1.7600e+04,6.8498e-02
1.7700e+04,6.8505e-02
1.7800e+04,6.8350e-02
1.7900e+04,6.8278e-02
1.8000e+04,6.8205e-02
1.8100e+04,6.8260e-02
1.8200e+04,6.8063e-02
1.8300e+04,6.8053e-02
